name,city,rating,rating_count,cost,cuisine
TIME OUT,Adityapur,4.1,100,299.0,"Chaat,South Indian"
GUAVA - ALL DAY BISTRO,Adityapur,3.8,50,300.0,"Chinese,Biryani"
Chulha Chauka,Adityapur,3.5,20,100.0,"Thalis,Indian"
Olive  Multicuisine Restaurant,Adityapur,4.0,50,300.0,"Chinese,North Indian"
Hong Kong,Adityapur,4.0,20,400.0,Chinese
BAKING BOND,Adityapur,4.4,20,199.0,"Bakery,Desserts"
Blooms,Adityapur,3.8,50,250.0,Indian
Chai Break,Adityapur,4.3,20,400.0,"North Indian,Chinese"
BIRYANI  WALE,Adityapur,2.4,50,200.0,Biryani
Pizza Peddler,Adityapur,3.8,50,200.0,"Pizzas,Pastas"
Veggie Corner( Hotel Nataraj),Adityapur,4.3,20,499.0,"Pizzas,South Indian"
Bhatia Milkshake,Adityapur,4.3,20,299.0,Beverages
Equinox,Adityapur,4.5,20,400.0,"Indian,Chinese"
Thanco's Natural Ice Cream,Adityapur,4.5,20,299.0,Ice Cream
Kwality,Adityapur,4.0,20,499.0,"Indian,Chinese"
Bon Appetit,Adityapur,4.1,20,300.0,"Indian,Chinese"
Social 75,Adityapur,4.0,20,399.0,"Continental,Indian"
Baskin Robbins,Adityapur,4.6,50,250.0,"Desserts,Ice Cream"
Sagar's Kitchen Kraft,Adityapur,3.7,50,199.0,"Indian,Chinese"
Lion's Pride,Adityapur,3.5,20,200.0,North Indian
Chopsticks,Adityapur,3.3,20,499.0,"Indian,Chinese"
New US Pizza,Adityapur,3.6,100,299.0,"Pizzas,Snacks"
Bhook Pyaas,Adityapur,3.5,20,200.0,"Chinese,Indian"
Aditi Foods,Adityapur,3.8,20,100.0,Indian
Chinimama,Adityapur,4.3,20,199.0,"Chinese,Biryani"
Brunch Italino (Kadma Market),Adityapur,3.9,20,200.0,"Bakery,Desserts"
Chef Corner,Adityapur,3.9,500,299.0,"Indian,Chinese"
AB Palace,Adityapur,3.4,20,200.0,"Chinese,Indian"
Mathura Mistan Bhandar,Adityapur,4.5,100,200.0,"Sweets,Snacks"
Pizzapuram,Adityapur,3.7,100,200.0,"Pizzas,Italian"
Gopal Dosa,Adityapur,4.1,100,100.0,South Indian
Apna Adda,Adityapur,4.1,50,150.0,"Chinese,Snacks"
Babu Moshai,Adityapur,4.0,50,349.0,"Indian,Chinese"
Junction Restaurant,Adityapur,3.7,1,399.0,"Indian,Biryani"
The Bihari  Resturant,Adityapur,4.4,50,200.0,"North Indian,Snacks"
Delhi Darbar (Sakchi ),Adityapur,3.7,100,200.0,"Chinese,Biryani"
The Hungry Bird,Adityapur,3.9,500,300.0,"North Indian,Chinese"
Manohar Chat,Adityapur,4.1,100,150.0,"Chinese,Chaat"
Dosa Hut,Adityapur,4.0,100,200.0,"South Indian,Chinese"
Chicago Pizza,Adityapur,3.1,100,299.0,"Pizzas,Pastas"
New Chappan Bhog - Sakchi,Adityapur,4.3,100,200.0,"Sweets,Snacks"
Laziz Pizza,Adityapur,3.9,100,300.0,"Pizzas,Beverages"
SAKCHI MISTAN BHANDAR,Adityapur,4.2,100,200.0,"Sweets,Snacks"
BIKKGANE BIRYANI,Adityapur,4.1,100,350.0,"Biryani,Hyderabadi"
Campus Adda,Adityapur,3.9,100,200.0,"Chinese,Biryani"
NEW KOLKATA ARSALAN BIRYANI,Adityapur,3.8,50,250.0,"Biryani,Fast Food"
Biryani By Kilo,Adityapur,4.1,500,600.0,"Biryani,Hyderabadi"
American Waffle House,Adityapur,4.1,100,200.0,"Waffle,Ice Cream"
Lakhi Egg Roll & Caterer,Adityapur,3.5,100,299.0,"Chinese,Indian"
The White Rose,Adityapur,3.9,100,499.0,"Indian,Chinese"
The Belgian Waffle Co.,Adityapur,4.5,100,200.0,"Beverages,Desserts"
Saffron,Adityapur,4.0,100,400.0,"Indian,Chinese"
Brunch Italiano (sakchi),Adityapur,3.7,50,300.0,Bakery
Uttar Dakshin,Adityapur,3.7,500,200.0,"Indian,Chinese"
SAGAR RESTAURANT,Adityapur,4.1,20,299.0,"Indian,Chinese"
Silver Spoon,Adityapur,4.2,100,200.0,Indian
Pappu Hotel,Adityapur,3.0,100,200.0,"Biryani,Chinese"
Shreshtham,Adityapur,3.5,20,200.0,"Snacks,Sweets"
The Biryani Boxx,Adityapur,3.7,20,200.0,"Biryani,Beverages"
BIRYANI BADSHAH,Adityapur,4.1,50,350.0,"Biryani,Hyderabadi"
Tinkoniya Hotel,Adityapur,3.9,50,150.0,"Snacks,Sweets"
Pappu Restaurant,Adityapur,3.4,500,200.0,"Indian,Biryani"
Jalsa Restaurant,Adityapur,4.3,100,200.0,"Bengali,Indian"
Brother's Chaap and Dhaba,Adityapur,4.0,20,200.0,"North Indian,Snacks"
The Dugout,Adityapur,3.7,20,499.0,"Indian,Chinese"
J K Residency,Adityapur,4.1,50,400.0,"Indian,Continental"
MEALS @ ONE,Adityapur,3.5,100,200.0,"Combo,Indian"
Kebabs & Curry,Adityapur,3.8,20,300.0,"Indian,Chinese"
NABJIBAN KULFI,Adityapur,4.2,20,299.0,"Ice Cream,Pizzas"
Momo Square,Adityapur,3.3,50,200.0,"Tibetan,Nepalese"
SAI REGENCY,Adityapur,4.0,100,200.0,"Indian,Biryani"
Jiva Hotel,Adityapur,4.2,100,599.0,"North Indian,Chinese"
Galaxy Sweet & Snacks,Adityapur,3.8,20,150.0,"Chinese,Snacks"
THAALI WALA (Pure Veg Thali),Adityapur,3.2,20,199.0,"Thalis,Indian"
BURGER BUDDY,Adityapur,4.2,100,150.0,"Burgers,Street Food"
VADILAL ICE CREAMS,Adityapur,4.6,50,200.0,Ice Cream
Fusion Restaurant,Adityapur,3.9,500,350.0,"North Indian,Chinese"
The Height 18,Adityapur,3.0,20,200.0,"Indian,Chinese"
Dosa Cafe (Hotel Ganga Regency),Adityapur,4.5,100,199.0,South Indian
Hotel Ganga Regency,Adityapur,4.2,1,399.0,"Indian,Chinese"
BASANT PARCEL,Adityapur,3.6,20,100.0,"North Indian,Chinese"
MURARI BHOJANALAY,Adityapur,4.1,100,199.0,Indian
PIZZA 99,Adityapur,3.5,20,200.0,"Pizzas,Burgers"
New Gangour Sweets (sakchi),Adityapur,4.2,50,199.0,"Sweets,Snacks"
WOK (Hotel Ganga Regency),Adityapur,3.8,50,400.0,"Chinese,Continental"
Junction Pure Veg Fast Food,Adityapur,3.8,20,200.0,"Street Food,Chinese"
DOSA JUNCTION,Adityapur,3.1,20,150.0,South Indian
The Cake House,Adityapur,4.5,20,399.0,Bakery
Kanchan Egg Roll,Adityapur,3.8,20,150.0,"Chinese,Snacks"
PUJA SWEETS BHALUBASA,Adityapur,4.6,50,100.0,"Bengali,Sweets"
Pipal,Adityapur,3.9,100,300.0,"Indian,Chinese"
The Lajij ( Champaran Meat House ),Adityapur,3.6,20,200.0,"North Indian,Chinese"
Anandam,Adityapur,4.4,20,150.0,"South Indian,North Indian"
7th Heaven Bar and Restaurant,Adityapur,3.9,20,250.0,"Chinese,Indian"
PARATHA NATION,Adityapur,3.5,20,200.0,"Indian,North Indian"
The Chinese Monk,Adityapur,4.1,20,200.0,Chinese
OM SAI RAM MOMOS,Adityapur,4.1,100,100.0,"Nepalese,Tibetan"
Meera Tiffin Service,Adityapur,3.9,20,200.0,"North Indian,Lucknowi"
Mithila Sweets and Bakery,Adityapur,4.2,50,299.0,"Sweets,Snacks"
Anurag Fast Food Centre,Adityapur,4.1,50,150.0,"Chinese,Fast Food"
Shri Hira Sweets,Adityapur,4.4,100,150.0,"Sweets,Snacks"
KHALSA HOTEL,Adityapur,4.1,100,399.0,"Indian,North Indian"
Green Burst,Adityapur,4.0,20,290.0,"North Indian,Biryani"
The Basement,Adityapur,4.2,100,300.0,"Indian,Tandoor"
QUEST REGENCY,Adityapur,4.0,1,400.0,"Indian,Biryani"
Chakh-Naa,Adityapur,3.9,100,200.0,Chinese
The Satkar Hotel,Adityapur,4.0,100,200.0,"Indian,Chinese"
Royal Max Bakery,Adityapur,3.9,20,200.0,Bakery
SHER - E- PUNJAB,Adityapur,3.9,20,200.0,"Chinese,North Indian"
SCRATCH,Adityapur,3.9,20,400.0,"Chinese,Continental"
Up 'n' above,Adityapur,4.0,50,599.0,"Indian,Chinese"
Golmuri Mistan Bhandar,Adityapur,3.8,20,100.0,"Sweets,Snacks"
Food From Home,Adityapur,3.9,20,199.0,"Indian,Thalis"
NEW GANGOUR SWEETS (Mango),Adityapur,4.0,50,200.0,Sweets
The Crickets Cafe,Adityapur,4.0,100,300.0,"Indian,Chinese"
Delhi Darbar ( Mango ),Adityapur,3.5,20,200.0,"Biryani,Tandoor"
HOTEL DS INTERNATIONAL,Adityapur,4.0,20,300.0,"North Indian,Chinese"
Hungry Kya,Adityapur,4.3,100,200.0,"Biryani,North Indian"
Pure Veg Rasoi,Adityapur,3.6,50,50.0,Snacks
Kebab Factory,Adityapur,3.6,20,200.0,"Tandoor,Indian"
BARN N BARBECUE.,Adityapur,3.9,20,200.0,"Chinese,Snacks"
FRANKY'S MOMOS,Adityapur,4.4,100,150.0,"Chinese,Nepalese"
Aman Momos,Adityapur,4.2,50,150.0,"Nepalese,Tibetan"
Annapurna New Suruchi Hotel,Adityapur,4.4,100,299.0,"Indian,South Indian"
The Altira Hotel,Adityapur,3.9,50,250.0,"Chinese,North Indian"
KKFC,Adoni,3.8,50,200.0,Italian
Lassi Shop,Adoni,3.8,50,150.0,"Desserts,Ice Cream"
Deepthi Pure Veg  family restaurant,Adoni,4.1,100,250.0,"South Indian,North Indian"
S Usha Star Restaurant,Adoni,3.8,50,250.0,Biryani
Shawarma king,Adoni,3.5,50,150.0,"Arabian,Lebanese"
Arya Hotel,Adoni,4.0,100,150.0,"North Indian,Chinese"
Pizza House,Adoni,4.4,100,199.0,"Pizzas,Fast Food"
