name,city,rating,rating_count,cost,cuisine
Kabab Souq,"CV Raman Nagar,Bangalore",4.0,500,200.0,"Chinese,Arabian"
Heaven Darjeeling,"CV Raman Nagar,Bangalore",3.6,20,300.0,"Chinese,Seafood"
Goli Vada Pav No .1,"CV Raman Nagar,Bangalore",4.1,100,100.0,"Maharashtrian,North Indian"
Subway,"CV Raman Nagar,Bangalore",3.8,100,350.0,"Fast Food,Salads"
Punjab Junction,"CV Raman Nagar,Bangalore",3.6,100,350.0,North Indian
Andhra Gunpowder,"CV Raman Nagar,Bangalore",4.0,500,350.0,"Andhra,Biryani"
Bidadi Thatte Idli,"CV Raman Nagar,Bangalore",4.0,50,100.0,"South Indian,Beverages"
Khan Saheb Grills and Rolls,"CV Raman Nagar,Bangalore",3.8,100,300.0,"Tandoor,Mughlai"
Domino's Pizza,"CV Raman Nagar,Bangalore",4.2,100,400.0,Pizzas
Venad Kitchen,"CV Raman Nagar,Bangalore",3.6,50,200.0,"Kerala,South Indian"
Royal Biriyani House,"CV Raman Nagar,Bangalore",3.9,100,400.0,"Biryani,North Indian"
Biryani Trip,"CV Raman Nagar,Bangalore",3.9,100,400.0,"Biryani,Hyderabadi"
Iyer Idly,"CV Raman Nagar,Bangalore",4.5,500,150.0,"Chinese,South Indian"
NEW HONG KONG GARDEN,"CV Raman Nagar,Bangalore",4.0,50,200.0,"Chinese,Fast Food"
Tawakkal mubarak hotel,"CV Raman Nagar,Bangalore",3.8,500,500.0,"Indian,Biryani"
Angel Mess,"CV Raman Nagar,Bangalore",3.8,500,250.0,"Kerala,South Indian"
Behrouz Biryani,"CV Raman Nagar,Bangalore",3.9,100,500.0,"Biryani,Mughlai"
Polar Bear,"CV Raman Nagar,Bangalore",4.5,50,100.0,"Ice Cream,Desserts"
AMRITSARI DHABA,"CV Raman Nagar,Bangalore",3.8,20,300.0,"North Indian,Punjabi"
Paratha Envy,"CV Raman Nagar,Bangalore",4.0,50,249.0,North Indian
Punjabi Tandoor,"CV Raman Nagar,Bangalore",3.9,100,350.0,"Biryani,Thalis"
Moriz Restaurant,"CV Raman Nagar,Bangalore",3.7,100,600.0,"Chinese,Indian"
Biriyani Zone,"CV Raman Nagar,Bangalore",4.1,500,800.0,"Biryani,Andhra"
Ayur Bars & Bites,"CV Raman Nagar,Bangalore",4.3,20,300.0,"Desserts,Beverages"
Lion King,"CV Raman Nagar,Bangalore",4.0,100,300.0,"Chinese,Seafood"
Wow Cafe- Bangarpet chats,"CV Raman Nagar,Bangalore",3.0,20,70.0,Chaat
Divya sree hotel Andhra style,"CV Raman Nagar,Bangalore",3.8,100,160.0,North Indian
Green G juice Bar,"CV Raman Nagar,Bangalore",3.3,20,150.0,"Juices,Ice Cream"
Mother's Meal,"CV Raman Nagar,Bangalore",4.4,500,250.0,"North Indian,Punjabi"
Burger King,"CV Raman Nagar,Bangalore",4.2,500,350.0,American
AL Madeena restaurant,"CV Raman Nagar,Bangalore",3.8,20,200.0,Biryani
Aahar cafe,"CV Raman Nagar,Bangalore",4.0,100,250.0,"North Indian,Chinese"
Manchatti Magic Kitchen - For Healthy & Homemade Foods,"CV Raman Nagar,Bangalore",3.6,50,250.0,"South Indian,Biryani"
AMBUR DUM BIRIYANI,"CV Raman Nagar,Bangalore",3.5,20,300.0,Biryani
Donne Biryani Darbar,"CV Raman Nagar,Bangalore",3.8,20,150.0,"Biryani,North Indian"
KFC,"CV Raman Nagar,Bangalore",3.8,500,400.0,"American,Snacks"
Sri Gokulam Hot Chips,"CV Raman Nagar,Bangalore",4.3,50,150.0,Snacks
SREE GANESHA FRUITE  JUICE  CENTER,"CV Raman Nagar,Bangalore",3.2,20,50.0,"Beverages,Snacks"
McDonald's,"CV Raman Nagar,Bangalore",4.1,500,400.0,"Burgers,Beverages"
THE PIZZA QUEEN,"CV Raman Nagar,Bangalore",3.8,20,250.0,"Pizzas,Pastas"
Paratha plaza,"CV Raman Nagar,Bangalore",4.2,100,200.0,North Indian
New Krishna sagar,"CV Raman Nagar,Bangalore",3.5,20,250.0,"Indian,Chinese"
Chaayos Chai+Snacks=Relax,"CV Raman Nagar,Bangalore",4.7,20,250.0,"Bakery,Beverages"
Delhi 6 Chandni Chowk,"CV Raman Nagar,Bangalore",3.8,100,500.0,"North Indian,Chinese"
Pizza Hut,"CV Raman Nagar,Bangalore",3.9,100,350.0,Pizzas
Itminaan Biryani - Dum Pukht,"CV Raman Nagar,Bangalore",3.1,20,400.0,"Biryani,North Indian"
Cookie Man,"CV Raman Nagar,Bangalore",4.3,20,140.0,"Desserts,Ice Cream"
Bombay Kulfis,"CV Raman Nagar,Bangalore",4.5,100,200.0,"Desserts,Ice Cream"
Cake Makers,"CV Raman Nagar,Bangalore",4.0,20,100.0,Bakery
Momo Monk,"CV Raman Nagar,Bangalore",4.1,50,350.0,"Pan-Asian,Chinese"
Sri Murugan Cafe,"CV Raman Nagar,Bangalore",4.2,500,200.0,"South Indian,Chinese"
Aaa-O-Ji-Kha-O-Ji Dosa Corner,"CV Raman Nagar,Bangalore",4.2,100,100.0,South Indian
Snack House,"CV Raman Nagar,Bangalore",4.0,100,300.0,"Fast Food,Street Food"
Gayatri sweets & chats,"CV Raman Nagar,Bangalore",4.4,50,50.0,"Sweets,Chaat"
homely,"CV Raman Nagar,Bangalore",4.3,1,200.0,"Home Food,North Indian"
KC Das Sweets,"CV Raman Nagar,Bangalore",4.1,500,350.0,Sweets
Shri Basaveshwara Khanavali,"CV Raman Nagar,Bangalore",4.1,100,260.0,South Indian
Beijing Bites,"CV Raman Nagar,Bangalore",4.1,500,450.0,"Chinese,Thai"
New Delicacy,"CV Raman Nagar,Bangalore",3.9,500,600.0,"Chinese,Thai"
Food Nation,"CV Raman Nagar,Bangalore",4.2,50,300.0,"Indian,Chinese"
Yo Snacko,"CV Raman Nagar,Bangalore",3.9,50,200.0,"Juices,Continental"
FUSION FOOD FACTORY,"CV Raman Nagar,Bangalore",4.7,20,500.0,"Indian,Chinese"
Hyderabadi Biryani Utsav,"CV Raman Nagar,Bangalore",4.0,100,450.0,"Chinese,North Indian"
Goli Vadapav No.1,"CV Raman Nagar,Bangalore",4.4,50,250.0,North Indian
Aahar Quick Bites,"CV Raman Nagar,Bangalore",3.3,20,250.0,"Chinese,Continental"
Ashley Kitchen,"CV Raman Nagar,Bangalore",3.9,20,500.0,"Italian,Beverages"
Breezy Cow Bar,"CV Raman Nagar,Bangalore",4.6,50,270.0,Beverages
FreshMenu,"CV Raman Nagar,Bangalore",3.9,500,250.0,"Chinese,Continental"
A1 99 veriety Dosa Corner,"CV Raman Nagar,Bangalore",3.8,20,200.0,South Indian
ANDHRA INTI RUCHULU,"CV Raman Nagar,Bangalore",4.2,20,200.0,"Indian,Home Food"
BHAVANI SRI UPAHARA,"CV Raman Nagar,Bangalore",4.3,100,300.0,South Indian
Stonelicious,"CV Raman Nagar,Bangalore",4.6,20,250.0,"Desserts,Ice Cream"
SGS Non Veg Gundu Palav - Chandapura,"Electronic City,Bangalore",4.0,100,300.0,"Biryani,South Indian"
The Dessert Zone,"Electronic City,Bangalore",3.9,50,200.0,"Bakery,Desserts"
Bangaliana,"Electronic City,Bangalore",4.1,100,500.0,Bengali
Pallavi Restaurant Authentic taste from Gulbarga,"Electronic City,Bangalore",4.2,500,200.0,"North Indian,South Indian"
Pure Veg Meals by Lunchbox,"Electronic City,Bangalore",4.0,20,200.0,"North Indian,Desserts"
ZAZA 22 Spice Biryani,"Electronic City,Bangalore",3.0,20,250.0,"Biryani,North Indian"
Dash of delite,"Electronic City,Bangalore",3.9,20,500.0,"Indian,Chinese"
Vijaywadawari Andhra Mess,"Electronic City,Bangalore",4.3,20,300.0,"Fast Food,Andhra"
The Chinese Bowl,"Electronic City,Bangalore",4.2,20,200.0,Chinese
PICK A CHICK,"Electronic City,Bangalore",4.1,20,350.0,"North Indian,Fast Food"
Mainland China,"Electronic City,Bangalore",4.3,50,850.0,"Chinese,Asian"
Oh! Calcutta,"Electronic City,Bangalore",4.0,100,800.0,Bengali
Asia Kitchen By Mainland China,"Electronic City,Bangalore",4.6,20,850.0,"Asian,Chinese"
Haka,"Electronic City,Bangalore",4.2,50,350.0,"Chinese,Asian"
Kerala Note Book,"Electronic City,Bangalore",3.3,20,350.0,"Kerala,Biryani"
HOTEL RK GARDENIA,"Electronic City,Bangalore",3.9,20,200.0,"North Indian,Biryani"
Mr Meetha Ram,"Electronic City,Bangalore",3.7,100,500.0,"North Indian,Chinese"
Keventers Ice Cream,"Electronic City,Bangalore",4.3,20,200.0,"Ice Cream,Desserts"
DVG Benne Dosa,"Electronic City,Bangalore",4.0,50,100.0,South Indian
Desi Dhaba,"Electronic City,Bangalore",3.6,500,350.0,North Indian
Pastas By Pizza Hut,"Electronic City,Bangalore",4.0,100,300.0,"Pastas,Pizzas"
The Pizza Bakery,"Electronic City,Bangalore",4.0,100,700.0,"Pizzas,Pastas"
Northern Bhatti Restaurant,"Electronic City,Bangalore",3.9,20,300.0,"Chinese,Snacks"
Thani Kerala Hotel,"Electronic City,Bangalore",3.9,100,200.0,"Kerala,South Indian"
Bombay Kulfi,"Electronic City,Bangalore",4.5,20,150.0,"Desserts,Ice Cream"
Burger King,"Electronic City,Bangalore",3.8,1,350.0,American
Paradise Delicious 2,"Electronic City,Bangalore",3.1,20,300.0,"North Indian,Chinese"
Iyengars Oven Fresh,"Electronic City,Bangalore",4.1,100,200.0,"Bakery,Desserts"
Foodies Family restaurant,"Electronic City,Bangalore",3.3,50,250.0,"Indian,Thai"
Polar Bear,"Electronic City,Bangalore",4.4,100,250.0,"Ice Cream,Desserts"
RNR Biryani - Taste of 1953,"Electronic City,Bangalore",4.3,500,350.0,"Biryani,South Indian"
Ruposhi Bangla,"Electronic City,Bangalore",3.5,20,240.0,"Bengali,Indian"
Oye Hoye (100% Veg),"Electronic City,Bangalore",4.1,20,200.0,North Indian
SMOOR,"Electronic City,Bangalore",4.3,100,350.0,"Desserts,Bakery"
Seasons,"Electronic City,Bangalore",4.2,500,300.0,"North Indian,Chinese"
Dock Frost'd -Ice Cream & Milkshakes,"Electronic City,Bangalore",4.5,20,250.0,"Desserts,Ice Cream"
HBH Hyderabadi Biryani House,"Electronic City,Bangalore",3.4,50,350.0,Biryani
Garhwali Tadka,"Electronic City,Bangalore",4.2,100,400.0,Indian
The Momo Co.,"Electronic City,Bangalore",4.0,20,250.0,"Chinese,Pan-Asian"
Bombay Kulfis,"Electronic City,Bangalore",4.5,100,100.0,"Desserts,Ice Cream"
Kolkata Biryani Kabab Factory,"Electronic City,Bangalore",1.9,20,400.0,"Biryani,Tandoor"
A2B Veg,"Electronic City,Bangalore",4.1,1,300.0,"South Indian,North Indian"
MiMi Takeout by Taiki,"Electronic City,Bangalore",4.3,50,850.0,"Chinese,Asian"
EatFit,"Electronic City,Bangalore",4.0,500,270.0,"Healthy Food,Pizzas"
KFC,"Electronic City,Bangalore",3.8,500,400.0,"American,Snacks"
Popular MOMO,"Electronic City,Bangalore",3.8,20,150.0,"Chinese,Fast Food"
Sitara Veg,"Electronic City,Bangalore",4.2,1,200.0,"South Indian,North Indian"
Fishing Boat,"Electronic City,Bangalore",4.1,100,350.0,"North Indian,Biryani"
SHOIAB FAMILY RESTAURANT,"Electronic City,Bangalore",3.5,50,300.0,Indian
UTTAR KARNATAKA KHANAVALI,"Electronic City,Bangalore",4.3,20,90.0,"South Indian,Indian"
LunchBox - Meals and Thalis,"Electronic City,Bangalore",4.2,100,200.0,"North Indian,Punjabi"
Aahaar Veg,"Electronic City,Bangalore",4.1,100,150.0,"South Indian,North Indian"
ITC Master Chef Creations,"Electronic City,Bangalore",4.3,100,650.0,"North Indian,Biryani"
ITC Sunfeast Baked Creations,"Electronic City,Bangalore",4.4,100,600.0,"Bakery,Desserts"
Vadilal Ice Cream,"Electronic City,Bangalore",4.0,20,200.0,"Ice Cream,Desserts"
Lassi Adda,"Electronic City,Bangalore",3.5,20,200.0,"Beverages,Fast Food"
HOTEL NEW KARAVALI,"Electronic City,Bangalore",3.6,20,300.0,"South Indian,Chinese"
Mani's Dum Biryani,"Electronic City,Bangalore",4.2,500,300.0,Biryani
Maa Tara Hotel,"Electronic City,Bangalore",3.9,20,300.0,"North Indian,Bihari"
Shanmukha Restaurant,"Electronic City,Bangalore",4.2,20,300.0,"Biryani,Hyderabadi"
Hotel Ruchir - The Grand,"Electronic City,Bangalore",3.3,20,500.0,"Beverages,Chinese"
Boozy Bakes,"Electronic City,Bangalore",4.4,20,120.0,"Bakery,Desserts"
SRI  VARU  TIFFEN  CENTRE,"Electronic City,Bangalore",4.2,100,200.0,South Indian
Heaven In a Jar,"Electronic City,Bangalore",4.1,20,120.0,"Bakery,Desserts"
Fudgebob,"Electronic City,Bangalore",3.5,20,120.0,"Bakery,Desserts"
shilpa kitchens,"Electronic City,Bangalore",3.6,20,300.0,"Indian,Chinese"
46 Ounces Brewgarden,"Electronic City,Bangalore",4.0,20,999.0,"North Indian,Tandoor"
PUNJAB KI RASOI,"Electronic City,Bangalore",3.2,20,300.0,"North Indian,Punjabi"
XPREES DHABA,"Electronic City,Bangalore",3.4,20,300.0,Punjabi
BOMBAY 2 DELHI,"Electronic City,Bangalore",4.0,50,200.0,"Snacks,Chaat"
Chai Point,"Electronic City,Bangalore",4.4,100,150.0,"Bakery,Beverages"
SRI RAGHAVENDRA UPAHARA,"Electronic City,Bangalore",3.8,20,250.0,"South Indian,North Indian"
Nandanam Restaurant,"Electronic City,Bangalore",3.9,500,400.0,"Kerala,Biryani"
Nandhana Palace,"Electronic City,Bangalore",3.9,500,500.0,"Biryani,Andhra"
Kwality Walls Frozen Dessert and Ice Cream Shop,"Electronic City,Bangalore",4.4,50,200.0,"Ice Cream,Desserts"
Chinese Wok (Wok Express),"Electronic City,Bangalore",3.9,100,250.0,"Chinese,Asian"
Shakeshack,"Electronic City,Bangalore",4.2,20,120.0,"Bakery,Desserts"
The Bread House,"Electronic City,Bangalore",3.9,100,200.0,"Pizzas,Burgers"
Lassi Corner,"Electronic City,Bangalore",3.8,100,100.0,"Beverages,Desserts"
The Punjabi Rasoi,"Electronic City,Bangalore",4.0,500,250.0,"North Indian,Punjabi"
Biryani By Kilo,"Electronic City,Bangalore",4.1,100,500.0,"Biryani,Hyderabadi"
Shankar's Kitchen,"Electronic City,Bangalore",4.2,50,500.0,"Indian,Chinese"
Shakes and Bites,"Electronic City,Bangalore",3.7,50,250.0,"Desserts,Ice Cream"
Fire Station,"Electronic City,Bangalore",4.0,100,500.0,"Chinese,South Indian"
Hyderabad Magic,"Electronic City,Bangalore",3.8,100,300.0,"North Indian,Chinese"
Dindigul Thalappakatti,"Electronic City,Bangalore",3.6,100,600.0,"Biryani,Barbecue"
Kitchens of China,"Electronic City,Bangalore",4.1,100,450.0,"Chinese,Combo"
ONE BITE,"Electronic City,Bangalore",4.2,20,250.0,"Beverages,Pizzas"
Firangi Bake,"Electronic City,Bangalore",4.6,50,400.0,"Italian,Mexican"
Pizza Hut,"Electronic City,Bangalore",3.8,100,350.0,Pizzas
NOTO - Healthy Ice Cream,"Electronic City,Bangalore",4.3,50,300.0,"Ice Cream,Healthy Food"
Kritunga,"Electronic City,Bangalore",3.8,100,400.0,Indian
Five Star Chicken,"Electronic City,Bangalore",3.9,20,250.0,American
McDonald's,"Electronic City,Bangalore",4.2,1,400.0,"Burgers,Beverages"
House Of Mandiness,"Electronic City,Bangalore",1.9,20,500.0,"Biryani,Hyderabadi"
Snack House,"Electronic City,Bangalore",4.1,20,300.0,"Fast Food,Street Food"
The Good Bowl,"Electronic City,Bangalore",3.6,20,400.0,"North Indian,Punjabi"
Meisterwurst,"Electronic City,Bangalore",4.5,50,500.0,American
Mad Over Donuts,"Electronic City,Bangalore",4.1,50,200.0,"Desserts,Sweets"
Andhra Gunpowder,"Electronic City,Bangalore",4.1,500,350.0,"Andhra,Biryani"
Subway,"Electronic City,Bangalore",4.2,500,350.0,"Salads,Snacks"
Dande's Hyderabad Biryani,"Electronic City,Bangalore",3.6,20,350.0,"Biryani,Andhra"
Momo Monk,"Electronic City,Bangalore",4.0,20,350.0,"Pan-Asian,Chinese"
Paratha Box by EatFit,"Electronic City,Bangalore",3.9,50,250.0,"North Indian,Punjabi"
SO- BUR,"Electronic City,Bangalore",4.5,50,300.0,"Fast Food,American"
Sai Saagar,"Electronic City,Bangalore",4.2,50,200.0,South Indian
MEGNA RESTAURANT,"Electronic City,Bangalore",2.3,50,300.0,Andhra
Samosa Party,"Electronic City,Bangalore",4.1,100,150.0,"Chaat,North Indian"
Balle Balle Kitchen,"Electronic City,Bangalore",3.8,20,250.0,"North Indian,Punjabi"
Chicking,"Electronic City,Bangalore",3.5,100,400.0,"Fast Food,American"
Paratha Envy,"Electronic City,Bangalore",4.3,50,249.0,North Indian
New Punjabi Food Corner,"Electronic City,Bangalore",4.1,100,300.0,North Indian
Adiga's,"Electronic City,Bangalore",3.8,100,250.0,"South Indian,North Indian"
Only Punjabi,"Electronic City,Bangalore",4.0,20,200.0,"North Indian,Punjabi"
THARAVADU MALABAR BIRYANI,"Electronic City,Bangalore",3.2,100,230.0,"Biryani,Kerala"
Taco Bell,"Electronic City,Bangalore",4.0,100,300.0,Mexican
BASMATI'S BRIYANI NATION,"Electronic City,Bangalore",3.4,20,300.0,"Biryani,Andhra"
Truffles,"Electronic City,Bangalore",4.5,1,350.0,"American,Beverages"
Chandni Chowk,"Electronic City,Bangalore",3.6,20,150.0,"Snacks,North Indian"
Cupcake Bliss Cakes & Desserts,"Electronic City,Bangalore",3.4,100,200.0,"Bakery,Desserts"
Great Indian Khichdi by EatFit,"Electronic City,Bangalore",4.0,100,200.0,"Home Food,Indian"
Just Fresh Point,"Electronic City,Bangalore",4.4,100,200.0,"Snacks,North Indian"
Bowl 99,"Electronic City,Bangalore",4.9,20,200.0,"Indian,North Indian"
Anjappar,"Electronic City,Bangalore",3.9,100,600.0,"Chettinad,Thalis"
BANGARPET CHATS,"Electronic City,Bangalore",3.7,20,200.0,"Indian,Chaat"
Baskin Robbins,"Electronic City,Bangalore",4.3,20,250.0,"Desserts,Ice Cream"
Andhra speciality Restaurant,"Electronic City,Bangalore",4.0,20,200.0,"Andhra,North Indian"
PUNJABI RESTAURANT PURE VEG,"Electronic City,Bangalore",3.8,20,300.0,North Indian
Mast Punjabi,"Electronic City,Bangalore",3.3,20,350.0,"Mughlai,North Indian"
Natural Ice Cream,"Electronic City,Bangalore",4.4,20,150.0,Ice Cream
The Dessert Heaven - Pure Veg,"Electronic City,Bangalore",3.9,50,200.0,"Bakery,Desserts"
UBQ by Barbeque Nation,"Electronic City,Bangalore",3.9,100,300.0,"North Indian,Barbecue"
Biggies Burger,"Electronic City,Bangalore",4.1,500,300.0,"American,Fast Food"
The Lassi Corner,"Electronic City,Bangalore",3.3,20,100.0,"Beverages,Desserts"
BIB - English Breakfast in the Box,"Electronic City,Bangalore",3.8,100,400.0,"American,Continental"
The Biryani Life,"Electronic City,Bangalore",3.7,50,250.0,"Biryani,Hyderabadi"
R.B Food Point,"Electronic City,Bangalore",2.6,50,250.0,"Chinese,Indian"
SLAY Coffee,"Electronic City,Bangalore",4.4,50,200.0,"Beverages,Desserts"
GetAWhey - Healthy Ice creams.,"Electronic City,Bangalore",4.8,20,250.0,"Ice Cream,Healthy Food"
SFC Garden & Restaurant,"Electronic City,Bangalore",3.7,100,300.0,"Biryani,Chinese"
The Thick Shake Factory,"Electronic City,Bangalore",4.3,50,200.0,Beverages
NEW PUNJABI TADKA,"Electronic City,Bangalore",4.3,100,350.0,"North Indian,Chinese"
Wow! Momo,"Electronic City,Bangalore",4.1,100,300.0,"Tibetan,Healthy Food"
The Daily Bowl,"Electronic City,Bangalore",4.1,20,250.0,"North Indian,Indian"
Smoodies & Juices: Yours Fruitfully,"Electronic City,Bangalore",3.9,20,140.0,"Snacks,Healthy Food"
Behrouz Biryani,"Electronic City,Bangalore",4.2,100,500.0,"Biryani,Mughlai"
Oven Story Pizza,"Electronic City,Bangalore",3.7,100,400.0,Pizzas
Faasos - Wraps & Rolls,"Electronic City,Bangalore",4.1,100,200.0,"Fast Food,Snacks"
Rolls on Wheels,"Electronic City,Bangalore",4.3,20,200.0,Fast Food
32 Degree,"Electronic City,Bangalore",4.2,50,300.0,"Juices,Snacks"
Shiv Sagar,"Electronic City,Bangalore",4.3,100,500.0,"North Indian,South Indian"
Breakfast Express,"Electronic City,Bangalore",4.3,500,200.0,"Continental,North Indian"
"Frozen Bottle - Milkshakes, Desserts And Ice Cream","Electronic City,Bangalore",4.3,100,250.0,"Beverages,Desserts"
Anugraha Milatri Hotel,"Electronic City,Bangalore",3.8,100,200.0,"Biryani,North Indian"
Sweet Truth - Cake and Desserts,"Electronic City,Bangalore",4.2,20,450.0,"Ice Cream,Bakery"
Waffl'd,"Electronic City,Bangalore",3.6,50,350.0,"Bakery,Desserts"
Home Plate by EatFit,"Electronic City,Bangalore",3.7,50,160.0,"North Indian,Home Food"
Nanda Gokula Family Restaurant,"Electronic City,Bangalore",4.1,20,200.0,Indian
REDDY RESTAURANT,"Electronic City,Bangalore",3.9,20,300.0,"Chinese,North Indian"
Fusion Bowl,"Electronic City,Bangalore",4.4,20,250.0,"North Indian,Indian"
Thali Bukhara,"Electronic City,Bangalore",4.4,20,250.0,"Thalis,Indian"
Sheesh's Family Restaurant,"Electronic City,Bangalore",3.5,20,300.0,"Biryani,Kebabs"
CakeZone,"Electronic City,Bangalore",4.1,500,200.0,"Desserts,Bakery"
AMBUR BIRIYANI,"Electronic City,Bangalore",3.5,100,250.0,"Indian,Chinese"
TAAZA BIRYANI,"Electronic City,Bangalore",3.2,50,300.0,"Biryani,Indian"
King,"Electronic City,Bangalore",3.6,100,250.0,"North Indian,Chinese"
Snack O Time,"Electronic City,Bangalore",4.1,20,175.0,"Snacks,Fast Food"
Mr. Tasty Chef,"Electronic City,Bangalore",3.6,20,250.0,"Tandoor,Biryani"
Auntie Fung's,"Electronic City,Bangalore",4.1,100,600.0,"Chinese,Asian"
Indian Burrito Company,"Electronic City,Bangalore",3.0,20,300.0,"Tex-Mex,Salads"
Donne Biryani House,"Electronic City,Bangalore",3.5,50,300.0,"Biryani,South Indian"
Swad E Punjab,"Electronic City,Bangalore",3.8,100,500.0,"Biryani,Mughlai"
Davanagere Benne Dosa Ecity,"Electronic City,Bangalore",3.9,20,150.0,Fast Food
Burger Zone,"Electronic City,Bangalore",3.8,20,300.0,North Indian
Laddoos,"Electronic City,Bangalore",4.1,500,200.0,"North Indian,Chaat"
Kataria's,"Electronic City,Bangalore",4.1,20,250.0,"Chinese,North Indian"
Chai Resto,"Electronic City,Bangalore",4.2,100,150.0,"North Indian,Beverages"
Ruchi Sagar,"Electronic City,Bangalore",4.0,100,299.0,"Chinese,Chaat"
Sharief Bhai,"Electronic City,Bangalore",4.1,1,400.0,"Biryani,North Indian"
Sweet Chariot,"Electronic City,Bangalore",4.2,100,50.0,Desserts
Starlit Suites,"Electronic City,Bangalore",3.9,20,300.0,"Biryani,Chinese"
Hi Q Cafe,"Electronic City,Bangalore",3.6,20,300.0,Continental
The Indian Samosa,"Electronic City,Bangalore",4.1,20,150.0,"North Indian,Beverages"
PROTEEN CAFE,"Electronic City,Bangalore",3.6,20,400.0,"North Indian,Chinese"
Wow Marathi,"Electronic City,Bangalore",4.0,50,300.0,"Maharashtrian,North Indian"
New Paratha kitchen,"Electronic City,Bangalore",3.8,20,299.0,"Indian,Chinese"
Dil Punjabi,"Electronic City,Bangalore",4.1,50,300.0,"North Indian,Thalis"
Domino's Pizza,"Electronic City,Bangalore",4.0,100,400.0,Pizzas
Sri Pillaiyar Bhavan pure veg,"Electronic City,Bangalore",4.1,100,150.0,Indian
Zwarma,"Electronic City,Bangalore",3.3,20,160.0,"Lebanese,Grill"
AL-BEK,"Electronic City,Bangalore",3.8,100,400.0,"Tandoor,Mughlai"
Biryani Blues,"Electronic City,Bangalore",4.2,100,400.0,"Biryani,Hyderabadi"
Eat 'N' Meet,"Electronic City,Bangalore",3.8,50,250.0,"North Indian,South Indian"
IMPERIO COMBO KING,"Electronic City,Bangalore",3.5,20,250.0,"Biryani,North Indian"
Basaveshwar Khanavali,"Electronic City,Bangalore",4.4,20,250.0,"Indian,Beverages"
Donne biriyani grand,"Electronic City,Bangalore",3.9,100,200.0,Biryani
Zomoz - The Momo Company,"Electronic City,Bangalore",4.1,50,250.0,"Tibetan,Chinese"
The Brooklyn Creamery - Healthy Ice Cream,"Electronic City,Bangalore",4.7,20,200.0,"Desserts,Ice Cream"
Mamaji PavBhaji,"Electronic City,Bangalore",5.0,20,250.0,"Street Food,Snacks"
SCHEZWAN HUB,"Electronic City,Bangalore",3.6,20,300.0,"Chinese,Pan-Asian"
Paradise Delicious,"Electronic City,Bangalore",3.1,20,199.0,Indian
IMPERIO RESTAURANT,"Electronic City,Bangalore",3.7,100,300.0,"Biryani,Mughlai"
Time Traveller - Sai Vishram,"Electronic City,Bangalore",4.2,50,700.0,"North Indian,South Indian"
WHAT THE ALE?!,"Electronic City,Bangalore",4.3,20,550.0,"Pizzas,Indian"
Meat and Eat,"Electronic City,Bangalore",4.0,20,300.0,"Seafood,Desserts"
Indiyana Pizza,"Electronic City,Bangalore",3.4,20,350.0,"Pizzas,Italian"
The Rasoiya Street,"Electronic City,Bangalore",4.0,100,500.0,"North Indian,Chinese"
Paradise Biryani House,"Electronic City,Bangalore",2.2,50,400.0,"Biryani,North Indian"
Karun Tummy,"Electronic City,Bangalore",3.5,20,300.0,"North Indian,Fast Food"
The Pastry House,"Electronic City,Bangalore",4.2,20,250.0,Bakery
SRI SAI NIDHI,"Electronic City,Bangalore",3.9,50,150.0,"South Indian,Indian"
Unique Palace,"Electronic City,Bangalore",3.6,20,350.0,"Indian,Biryani"
Satkar restaurant,"Electronic City,Bangalore",3.8,20,200.0,"Chinese,North Indian"
Chung Wah,"Electronic City,Bangalore",3.9,100,350.0,"Chinese,Pan-Asian"
CHICKPET DONNE BIRYANI HOUSE,"Electronic City,Bangalore",4.3,50,200.0,"Biryani,North Indian"
Prem's Biryani,"Electronic City,Bangalore",3.5,50,200.0,Indian
Kota Kachori And Falahaar,"Electronic City,Bangalore",3.9,100,150.0,"Chaat,North Indian"
Srinidhi Udupi Upahar,"Electronic City,Bangalore",4.0,50,250.0,South Indian
Bawarchi Biryanis,"Electronic City,Bangalore",2.8,20,400.0,Biryani
Thanima Garden Restaurant,"Electronic City,Bangalore",4.1,100,250.0,"North Indian,Kerala"
Barbeque Nation,"Electronic City,Bangalore",3.9,100,600.0,"North Indian,Barbecue"
Samosa Singh,"Electronic City,Bangalore",4.1,100,150.0,"Snacks,North Indian"
Onesta,"Electronic City,Bangalore",3.8,500,200.0,"Italian,Desserts"
Kolkata Kati Roll,"Electronic City,Bangalore",3.8,20,200.0,Fast Food
Absolute Shahiya,"Electronic City,Bangalore",4.4,20,500.0,Mughlai
JUST CREAMERY - Artisanal Healthy Ice Cream,"Electronic City,Bangalore",5.0,20,200.0,"Ice Cream,Desserts"
Kanti Sweets,"Electronic City,Bangalore",4.4,500,100.0,Sweets
PATTIKATTAN BIRIYANI,"Electronic City,Bangalore",4.0,100,180.0,South Indian
Indian Grill House,"Electronic City,Bangalore",4.1,500,375.0,"Indian,North Indian"
SR AMBUR DUM BIRYANI,"Electronic City,Bangalore",3.4,20,150.0,"Biryani,Indian"
MALABAR KITCHENS,"Electronic City,Bangalore",3.3,20,200.0,"Tandoor,Indian"
Kolkata Durbar,"Electronic City,Bangalore",3.8,100,300.0,"Bengali,North Indian"
The Maggi Company,"Electronic City,Bangalore",4.3,20,250.0,"Snacks,Chinese"
